Member_number,Date,itemDescription,Price
1808,21-07-2015,tropical fruit,1.50
2552,05-01-2015,whole milk,1.20
2300,19-09-2015,pip fruit,1.80
1187,12-12-2015,other vegetables,2.50
3037,01-02-2015,whole milk,1.20
4941,14-02-2015,rolls/buns,1.00
4501,08-05-2015,other vegetables,2.50
3803,23-12-2015,pot plants,5.00
2762,20-03-2015,whole milk,1.20
4119,12-02-2015,tropical fruit,1.50
1340,24-02-2015,citrus fruit,1.70
2193,14-04-2015,beef,4.50
1997,21-07-2015,frankfurter,2.00
4546,03-09-2015,chicken,3.67
4736,21-07-2015,butter,1.88
1959,30-03-2015,fruit/vegetable juice,2.00
1974,03-05-2015,packaged fruit/vegetables,4.24
2421,02-09-2015,chocolate,1.80
1513,03-08-2015,specialty bar,3.47
1905,07-07-2015,other vegetables,2.50
2810,08-09-2015,butter milk,2.66
2867,12-11-2015,whole milk,1.20
3962,18-09-2015,tropical fruit,1.50
1088,30-11-2015,tropical fruit,1.50
4976,17-07-2015,bottled water,3.73
4056,12-06-2015,yogurt,1.80
3611,13-02-2015,sausage,2.75
1420,14-01-2015,other vegetables,2.50
4286,08-03-2015,brown bread,2.45
4918,27-01-2015,yogurt,1.80
4783,22-10-2015,hamburger meat,2.11
3709,26-10-2015,root vegetables,2.20
4289,08-10-2015,pork,1.35
1559,03-10-2015,beef,4.50
2900,11-04-2015,pastry,4.81
1905,21-02-2015,fruit/vegetable juice,2.00
3527,29-09-2015,canned beer,2.50
1495,09-01-2015,root vegetables,2.20
3558,03-04-2015,citrus fruit,1.70
3128,20-04-2015,sausage,2.75
1863,04-08-2015,tropical fruit,1.50
3841,19-07-2015,berries,2.94
3903,06-10-2015,canned beer,2.50
2658,16-10-2015,butter milk,2.66
4272,06-06-2015,coffee,1.62
1120,26-09-2015,pastry,4.81
2676,15-08-2015,rolls/buns,1.00
1697,21-05-2015,misc. beverages,3.47
2507,25-08-2015,root vegetables,2.20
4620,11-03-2015,sausage,2.75
3365,01-02-2015,canned beer,2.50
2978,05-06-2015,ham,2.59
2910,28-07-2015,turkey,3.42
1061,05-09-2015,whole milk,1.20
3276,03-04-2015,whole milk,1.20
1326,19-06-2015,packaged fruit/vegetables,4.24
3023,28-07-2015,rolls/buns,1.00
2185,11-10-2015,ham,2.59
3552,16-06-2015,rolls/buns,1.00
1967,20-01-2015,other vegetables,2.50
4708,20-03-2015,sausage,2.75
2874,15-02-2015,sausage,2.75
4177,13-04-2015,frankfurter,2.00
1663,07-02-2015,rolls/buns,1.00
2632,02-03-2015,whole milk,1.20
1377,14-03-2015,curd cheese,3.55
4162,22-12-2015,red/blush wine,8.00
2270,01-07-2015,sausage,2.75
4829,03-11-2015,tropical fruit,1.50
3811,14-04-2015,red/blush wine,8.00
4766,29-09-2015,whole milk,1.20
2436,12-04-2015,frankfurter,2.00
3860,05-05-2015,whole milk,1.20
4875,12-05-2015,frozen potato products,3.36
1587,01-07-2015,other vegetables,2.50
4038,08-07-2015,citrus fruit,1.70
4750,21-09-2015,flour,2.91
1199,10-12-2015,sugar,1.95
1603,30-09-2015,frozen meals,2.18
3111,31-01-2015,chocolate,1.80
3894,13-12-2015,root vegetables,2.20
1456,18-09-2015,root vegetables,2.20
2022,04-03-2015,herbs,1.29
2505,30-11-2015,bottled water,3.73
4851,20-12-2015,sausage,2.75
4293,04-08-2015,coffee,1.62
2775,06-11-2015,pork,1.35
3693,18-02-2015,berries,2.94
1202,22-07-2015,soda,1.99
3699,23-08-2015,berries,2.94
4152,15-04-2015,fruit/vegetable juice,2.00
4155,26-01-2015,citrus fruit,1.70
4010,29-12-2015,pork,1.35
4389,20-10-2015,detergent,4.13
3746,17-08-2015,grapes,4.50
2560,17-05-2015,sausage,2.75
1503,25-07-2015,chicken,3.67
2555,23-12-2015,whole milk,1.20
3645,12-12-2015,citrus fruit,1.70
3886,11-09-2015,soda,1.99
2932,20-03-2015,sausage,2.75
1711,18-06-2015,frankfurter,2.00
4291,08-12-2015,sausage,2.75
1143,25-04-2015,soda,1.99
4564,08-07-2015,rolls/buns,1.00
3337,14-05-2015,beef,4.50
4931,04-05-2015,whole milk,1.20
2623,10-10-2015,processed cheese,1.71
4581,03-04-2015,tropical fruit,1.50
2635,11-06-2015,frankfurter,2.00
1095,30-10-2015,packaged fruit/vegetables,4.24
2990,23-05-2015,whole milk,1.20
2426,05-06-2015,berries,2.94
4555,07-11-2015,citrus fruit,1.70
3635,04-09-2015,tropical fruit,1.50
3058,18-05-2015,hamburger meat,2.11
4391,26-03-2015,hamburger meat,2.11
1306,23-06-2015,whole milk,1.20
1024,10-08-2015,fish,3.18
1295,23-07-2015,frankfurter,2.00
1661,01-06-2015,packaged fruit/vegetables,4.24
4591,15-05-2015,pastry,4.81
3169,14-06-2015,other vegetables,2.50
3915,21-05-2015,misc. beverages,3.47
1127,14-01-2015,frankfurter,2.00
4828,08-08-2015,sparkling wine,3.20
3683,10-06-2015,specialty bar,3.47
1971,18-09-2015,sausage,2.75
3014,11-11-2015,curd cheese,3.55
3779,15-09-2015,frankfurter,2.00
2489,04-05-2015,whole milk,1.20
3564,27-06-2015,newspapers,4.71
4092,30-09-2015,berries,2.94
3221,13-01-2015,curd,1.24
1279,06-09-2015,tropical fruit,1.50
2581,22-08-2015,soda,1.99
2295,25-02-2015,rolls/buns,1.00
4760,22-02-2015,canned beer,2.50
3649,16-01-2015,canned beer,2.50
1075,19-11-2015,frankfurter,2.00
3987,19-08-2015,other vegetables,2.50
4106,25-08-2015,whole milk,1.20
4338,24-06-2015,whole milk,1.20
4166,06-11-2015,citrus fruit,1.70
1211,10-03-2015,frankfurter,2.00
3954,21-01-2015,frankfurter,2.00
3928,18-07-2015,butter milk,2.66
3827,30-09-2015,hamburger meat,2.11
4699,08-02-2015,pasta,3.12
4747,08-06-2015,other vegetables,2.50
3028,09-06-2015,sausage,2.75
2851,16-03-2015,rolls/buns,1.00
4417,25-02-2015,grapes,4.50
3822,07-03-2015,root vegetables,2.20
2288,31-05-2015,coffee,1.62
2184,30-06-2015,popcorn,4.28
4554,27-08-2015,whole milk,1.20
3361,05-03-2015,tropical fruit,1.50
2999,17-04-2015,beef,4.50
2614,25-06-2015,whole milk,1.20
4064,05-06-2015,frankfurter,2.00
3567,04-10-2015,tropical fruit,1.50
2587,07-05-2015,canned beer,2.50
3783,17-06-2015,finished products,1.97
1923,14-02-2015,beverages,3.40
4835,19-02-2015,hamburger meat,2.11
1514,24-08-2015,whole milk,1.20
3154,22-06-2015,finished products,1.97
1313,25-12-2015,other vegetables,2.50
2794,18-07-2015,ham,2.59
2359,09-04-2015,other vegetables,2.50
2238,09-03-2015,curd,1.24
3795,17-01-2015,bottled beer,3.07
3724,26-11-2015,curd,1.24
1152,05-03-2015,whole milk,1.20
4559,16-03-2015,whole milk,1.20
3922,27-02-2015,dessert,3.96
1709,22-04-2015,sausage,2.75
2219,17-04-2015,other vegetables,2.50
2206,17-10-2015,ham,2.59
1752,06-04-2015,other vegetables,2.50
3942,10-11-2015,other vegetables,2.50
3296,17-08-2015,soda,1.99
2257,05-02-2015,herbs,1.29
4313,28-07-2015,frankfurter,2.00
2001,21-08-2015,rolls/buns,1.00
2449,08-07-2015,curd,1.24
4914,12-04-2015,frankfurter,2.00
2764,24-07-2015,other vegetables,2.50
4187,09-05-2015,dog food,3.70
1392,20-04-2015,specialty bar,3.47
3427,28-04-2015,curd,1.24
1411,20-02-2015,frankfurter,2.00
3390,14-11-2015,soda,1.99
4787,01-08-2015,beef,4.50
3310,17-01-2015,canned beer,2.50
1782,10-10-2015,pork,1.35
3375,26-04-2015,frankfurter,2.00
2760,07-01-2015,sausage,2.75
4249,13-09-2015,canned beer,2.50
2904,06-06-2015,specialty chocolate,4.80
